Toronto,5429524
Montréal,3519595
Vancouver,2264823
Calgary,1239220
Edmonton,1062643
Ottawa,989567
Mississauga,721599
Winnipeg,705244
Quebec City,705103
Hamilton,693645
Brampton,593638
Surrey,517887
Kitchener,470015
Laval,422993
Halifax,403131
London,383822
Victoria,335696
Markham,328966
St. Catharines,309319
Niagara Falls,308596
Vaughan,306233
Gatineau,276245
Windsor,276165
Saskatoon,246376
Longueuil,239700
Burnaby,232755
Regina,215106
Richmond,198309
Richmond Hill,195022
Oakville,193832
Burlington,183314
Barrie,172657
Oshawa,166000
Sherbrooke,161323
Saguenay,144746
Lévis,143414
Kelowna,142146
Abbotsford,141397
Coquitlam,139284
Trois-Rivières,134413
Guelph,131794
Cambridge,129920
Whitby,128377
Ajax,119677
Langley,117285
Saanich,114148
Terrebonne,111575
Milton,110128
St. John's,108860.00
Moncton,108620
Thunder Bay,107909
Dieppe,107068
Waterloo,104986
Delta,102238
Chatham,101647.00
Red Deer,100418
Kamloops,100046
Brantford,97496
Cape Breton,94285
Lethbridge,92729
Saint-Jean-sur-Richelieu,92394
Clarington,92013
Pickering,91771
Nanaimo,90504
Sudbury,88054
North Vancouver,85935.00
Brossard,85721
Repentigny,84965
Newmarket,84224
Chilliwack,83788
White Rock,82368
Maple Ridge,82256
Peterborough,82094
Kawartha Lakes,75423
Prince George,74003
Sault Ste. Marie,73368
Sarnia,71594
Wood Buffalo,71589.00
New Westminster,70996
Châteauguay,70812
Saint-Jérôme,69598
Drummondville,68601
Saint John,67575
Caledon,66502
St. Albert,65589
Granby,63433
Medicine Hat,63260
Grande Prairie,63166
St. Thomas,61707
Airdrie,61581
Halton Hills,61161
Saint-Hyacinthe,59614
Lac-Brome,58889
Port Coquitlam,58612
Fredericton,58220
Blainville,56363
Aurora,55445
Welland,52293
North Bay,51553
Beloeil,50796
Belleville,50716
Mirabel,50513
Shawinigan,50060
Dollard-des-Ormeaux,49637
Brandon,48859
Rimouski,48664
Cornwall,46589
Stouffville,45837
Georgina,45418
Victoriaville,45309
Vernon,44600
Duncan,44451
Saint-Eustache,44154
Quinte West,43577
Charlottetown,42602
Mascouche,42491
West Vancouver,42473
Salaberry-de-Valleyfield,42410
Rouyn-Noranda,42334
Timmins,41788
Sorel-Tracy,41629
New Tecumseth,41439
Woodstock,40902
Boucherville,40753
Mission,38833
Vaudreuil-Dorion,38117
Brant,36707
Lakeshore,36611.00
Innisfil,36566
Prince Albert,35926
Langford Station,35342
Bradford West Gwillimbury,35325
Campbell River,35138
Spruce Grove,34066
Moose Jaw,33890
Penticton,33761
Port Moody,33551
Leamington,32991
East Kelowna,32655
Côte-Saint-Luc,32448.00
Val-d’Or,31862
Owen Sound,31820
Stratford,31465
Lloydminster,31410
Pointe-Claire,31380
Orillia,31166
Alma,30904
Orangeville,30734
Fort Erie,30710
LaSalle,30180
Sainte-Julie,30104
Leduc,29993
North Cowichan,29676
Chambly,29120.00
Okotoks,28881
Sept-Îles,28534
Centre Wellington,28191
Saint-Constant,27359
Grimsby,27314
Boisbriand,26884
Conception Bay South,26199
Saint-Bruno-de-Montarville,26107
Sainte-Thérèse,26025
Cochrane,25853
Thetford Mines,25709
Courtenay,25599
Magog,25358
Whitehorse,25085.00
Woolwich,25006
Clarence-Rockland,24512
Fort Saskatchewan,24149
East Gwillimbury,23991
Lincoln,23787
La Prairie,23357
Tecumseh,23229
Mount Pearl Park,22957
Amherstburg,21936
Saint-Lambert,21861
Brockville,21854
Collingwood,21793
Scugog,21617
Kingsville,21552
Baie-Comeau,21536
Paradise,21389
Uxbridge,21176
Essa,21083
Candiac,21047
Oro-Medonte,21036
Varennes,20994
Strathroy-Caradoc,20867
Wasaga Beach,20675
New Glasgow,20609
Wilmot,20545
Essex,20427
Fort St. John,20155
Kirkland,20151
L’Assomption,20065
Westmount,19931
Saint-Lazare,19889
Chestermere,19887
Huntsville,19816
Corner Brook,19806.00
Riverview,19667
Lloydminster,19645.00
Joliette,19621
Yellowknife,19569.00
Squamish,19512
Mont-Royal,19503
Rivière-du-Loup,19447
Cobourg,19440
Cranbrook,19259
Beaconsfield,19115
Springwater,19059
Dorval,18980
Thorold,18801
Camrose,18742
South Frontenac,18646
Pitt Meadows,18573
Port Colborne,18306
Quispamsis,18245
Mont-Saint-Hilaire,18200
Bathurst,18154
Saint-Augustin-de-Desmaures,18141
Oak Bay,18094
Sainte-Marthe-sur-le-Lac,18074
Salmon Arm,17706
Port Alberni,17678
Esquimalt,17655
Deux-Montagnes,17553
Miramichi,17537.00
Niagara-on-the-Lake,17511
Saint-Lin--Laurentides,17463
Beaumont,17396
Middlesex Centre,17262
Inverness,17235
Stony Plain,17189
Petawawa,17187
Pelham,17110
Selwyn,17060
Loyalist,16971
Midland,16864
Colwood,16859
Central Saanich,16814
Sainte-Catherine,16762
Port Hope,16753
L’Ancienne-Lorette,16745
Saint-Basile-le-Grand,16736
Swift Current,16604
Edmundston,16580
Russell,16520
North Grenville,16451
Yorkton,16343
Tracadie,16114.00
Bracebridge,16010
Greater Napanee,15892
Tillsonburg,15872
Steinbach,15829
Hanover,15733
Terrace,15723
Springfield,15342
Gaspé,15163
Kenora,15096
Cold Lake,14961
Summerside,14829
Comox,14828
Sylvan Lake,14816
Pincourt,14558
West Lincoln,14500
Matane,14462
Brooks,14451
Sainte-Anne-des-Plaines,14421.00
West Nipissing / Nipissing Ouest,14364
Rosemère,14294
Mistassini,14250.00
Grand Falls,14171.00
Clearview,14151
St. Clair,14086
Canmore,13992
North Battleford,13888
Pembroke,13882
Mont-Laurier,13779
Strathmore,13756
Saugeen Shores,13715
Thompson,13678
Lavaltrie,13657
High River,13584
Severn,13477
Sainte-Sophie,13375
Saint-Charles-Borromée,13321
Portage La Prairie,13304
Thames Centre,13191
Mississippi Mills,13163
Powell River,13157
South Glengarry,13150
North Perth,13130
Mercier,13115
South Stormont,13110
Saint-Colomban,13080
Lacombe,13057
Sooke,13001
Dawson Creek,12978
Lake Country,12922
Trent Hills,12900
Sainte-Marie,12889
Guelph/Eramosa,12854
Truro,12826
Amos,12823
The Nation / La Nation,12808
Ingersoll,12757
Winkler,12660
Wetaskiwin,12655
Central Elgin,12607
Lachute,12551
West Grey,12518
Parksville,12514
Cowansville,12489
Bécancour,12438
Gravenhurst,12311
Perth East,12261
Prince Rupert,12220
Prévost,12171
Sainte-Adèle,12137
Kentville,12088
Beauharnois,12011
Les Îles-de-la-Madeleine,12010
Wellington North,11914
St. Andrews,11913
Carleton Place,11901
Whistler,11854
Brighton,11844
Tiny,11787
Gander,11688
Sidney,11672
Rothesay,11659
Brock,11642
Summerland,11615
Val-des-Monts,11582
Taché,11568
Montmagny,11491
Erin,11439
Kincardine,11389
North Dundas,11278
Wellesley,11260
Estevan,11258
North Saanich,11249
Warman,11020
La Tuque,11001.00
Norwich,11001
Meaford,10991
Adjala-Tosorontio,10975
Hamilton Township,10942.00
St. Clements,10876
Saint-Amable,10870
Weyburn,10870
South Dundas,10833
L’Île-Perrot,10756
Notre-Dame-de-l'Île-Perrot,10756
Williams Lake,10753
Elliot Lake,10741
Cantley,10699
Nelson,10664
Lambton Shores,10631
Mapleton,10527.00
Georgian Bluffs,10479
Rawdon,10416
Campbellton,10411
View Royal,10408
Coldstream,10314
Chester,10310
Queens,10307
Selkirk,10278
Saint-Félicien,10278
Hawkesbury,10263
Roberval,10227
Sainte-Agathe-des-Monts,10223
North Dumfries,10215
Rideau Lakes,10207
Sechelt,10200
North Glengarry,10109
South Huron,10096
Marieville,10094
Tay,10033
Temiskaming Shores,9920
Hinton,9882
Saint-Sauveur,9881
Quesnel,9879
Elizabethtown-Kitley,9854
Morinville,9848
Grey Highlands,9804
Stratford,9706
Alfred and Plantagenet,9680
Mont-Tremblant,9646
Martensville,9645
Saint-Raymond,9615
Amherst,9550
Ramara,9488
Bois-des-Filion,9485
Leeds and the Thousand Islands,9465
Carignan,9462
Brockton,9461
Laurentian Valley,9387
East St. Paul,9372
Lorraine,9352
Sainte-Julienne,9331
Blackfalds,9328
Malahide,9292
Oromocto,9223
Olds,9184
Huron East,9138
Stanley,9038.00
Penetanguishene,8962
Qualicum Beach,8943
Notre-Dame-des-Prairies,8868
West Perth,8865
Cavan Monaghan,8829
Arnprior,8795
Smiths Falls,8780
Pont-Rouge,8723
Champlain,8706
Coaticook,8698
Minto,8671
Morden,8668
Mono,8609
Corman Park No. 344,8568.00
Ladysmith,8537
Bridgewater,8532
Dauphin,8457.00
Otterburn Park,8450
Taber,8428
South Bruce Peninsula,8416
Edson,8414
Farnham,8330
Kapuskasing,8292
La Malbaie,8271
Renfrew,8223
Coaldale,8215
Portugal Cove-St. Philip's,8147
Zorra,8138
Kitimat,8131
Shelburne,8126
Happy Valley,8109.00
Saint-Hippolyte,8083
Castlegar,8039
Church Point,8018
Drumheller,7982
Kirkland Lake,7981
Argyle,7899
Torbay,7899
La Pêche,7863
Banff,7847
Innisfail,7847
Nicolet,7828
Rockwood,7823
Drummond/North Elmsley,7773
Dryden,7749
Iqaluit,7740.00
Fort Frances,7739
La Sarre,7719
Trail,7709
Chandler,7703
Stone Mills,7702
Hanover,7688
South-West Oxford,7664
Acton Vale,7664
Bromont,7649
Beckwith,7644
Goderich,7628
Plympton-Wyoming,7576
Central Huron,7576
Rigaud,7566
Louiseville,7517
Chibougamau,7504
Aylmer,7492
Delson,7462
Kimberley,7425
Blandford-Blenheim,7399
Bayham,7396
Augusta,7353
Puslinch,7336
Beauport,7281
Saint-Rémi,7265
St. Marys,7265
Drayton Valley,7235
Ponoka,7229
Labrador City,7220
Donnacona,7200
Southgate,7190
McNab/Braeside,7178
Macdonald,7162
Hampstead,7153
Baie-Saint-Paul,7146
Merritt,7139
Bluewater,7136
East Zorra-Tavistock,7129
Brownsburg,7122.00
Stoneham-et-Tewkesbury,7106
Asbestos,7096
Huron-Kinloss,7069
Coteau-du-Lac,7044
The Blue Mountains,7025
Whitewater Region,7009
Edwardsburgh/Cardinal,6959
Sainte-Anne-des-Monts,6933
Old Chelsea,6909
North Stormont,6873
Alnwick/Haldimand,6869
Peace River,6842
Arran-Elderslie,6803
Saint-Zotique,6773
Val-Shefford,6711
Douro-Dummer,6709
Plessisville,6688
Ritchot,6679
Otonabee-South Monaghan,6670
Shediac,6664
Slave Lake,6651
Port-Cartier,6651
Saint-Lambert-de-Lauzon,6647.00
Barrington,6646
Rocky Mountain House,6635
Chatsworth,6630
Stephenville,6623
Muskoka Falls,6588.00
Devon,6578
Yarmouth,6518
Boischatel,6465
Parry Sound,6408
Pointe-Calumet,6396
Beaubassin East / Beaubassin-est,6376.00
Wainfleet,6372
Cramahe,6355
Beauceville,6354
North Middlesex,6352
Amqui,6322
Sainte-Catherine-de-la-Jacques-Cartier,6319
Clarenville,6291
Mont-Joli,6281
Dysart et al,6280.00
Wainwright,6270
Contrecoeur,6252
Beresford,6248.00
Saint-Joseph-du-Lac,6195
