reported_date,school_board,municipality,confirmed_student_cases
2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,0
2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-11,Conseil des écoles publiques de l’Est de l’Ontario,Ottawa,0
2020-09-11,Conseil Scolaire Viamonde,Pickering,0
2020-09-11,Halton Catholic District School Board,Oakville,0
2020-09-11,Halton District School Board,Oakville,0
2020-09-11,Peel District School Board,Brampton,0
2020-09-11,Peel District School Board,Brampton,0
2020-09-11,Peel District School Board,Mississauga,0
2020-09-11,Waterloo Region District School Board,Waterloo,0
2020-09-14,nseil des écoles catholiques du Centre-Est (CECCE),Ottawa,0
2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-14,Conseil des écoles publiques de l’Est de l’Ontario,Ottawa,0
2020-09-14,Conseil Scolaire Viamonde,Pickering,0
2020-09-14,Halton Catholic District School Board,Oakville,0
2020-09-14,Halton District School Board,Oakville,0
2020-09-14,Peel District School Board,Brampton,0
2020-09-14,Peel District School Board,Brampton,0
2020-09-14,Peel District School Board,Mississauga,0
2020-09-14,Peel District School Board,Mississauga,1
2020-09-14,Renfrew County District School Board,Pembroke,0
2020-09-14,Waterloo Region District School Board,Waterloo,0
2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,0
2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,0
2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,0
2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-15,Conseil des écoles publiques de l’Est de l’Ontario,Ottawa,0
2020-09-15,Conseil des écoles publiques de l’Est de l’Ontario,Ottawa,0
2020-09-15,Conseil Scolaire Viamonde,Pickering,0
2020-09-15,Dufferin Peel Catholic District School Board,Mississauga,1
2020-09-15,Durham District School Board,Pickering,1
2020-09-15,Halton Catholic District School Board,Oakville,0
2020-09-15,Halton District School Board,Oakville,0
2020-09-15,Peel District School Board,Mississauga,0
2020-09-15,Peel District School Board,Mississauga,1
2020-09-15,Peel District School Board,Brampton,1
2020-09-15,Peel District School Board,Brampton,0
2020-09-15,Peel District School Board,Brampton,0
2020-09-15,Peel District School Board,Mississauga,0
2020-09-15,Renfrew County District School Board,Pembroke,0
2020-09-15,Toronto District School Board,Toronto,0
2020-09-15,Toronto District School Board,Toronto,0
2020-09-15,Toronto District School Board,Toronto,0
2020-09-15,Toronto District School Board,Toronto,0
2020-09-15,Waterloo Region District School Board,Waterloo,0
2020-09-15,York Region District School Board,Markham,1
2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,0
2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,0
2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,0
2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,1
2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,2
2020-09-16,Conseil des écoles catholiques du Centre-Est (CECCE),Ottawa,2
2020-09-16,Conseil des écoles publiques de l’Est de l’Ontario,Ottawa,0
2020-09-16,Conseil des écoles publiques de l’Est de l’Ontario,Ottawa,0
2020-09-16,Conseil Scolaire Viamonde,Pickering,0
2020-09-16,Dufferin Peel Catholic District School Board,Mississauga,1
2020-09-16,Durham District School Board,Pickering,1
2020-09-16,Halton Catholic District School Board,Oakville,0
2020-09-16,Halton District School Board,Oakville,0
2020-09-16,Peel District School Board,Mississauga,0
2020-09-16,Peel District School Board,Mississauga,1
2020-09-16,Peel District School Board,Brampton,1
2020-09-16,Peel District School Board,Brampton,0
2020-09-16,Peel District School Board,Brampton,0
2020-09-16,Peel District School Board,Mississauga,0
2020-09-16,Renfrew County District School Board,Pembroke,0
2020-09-16,Toronto District School Board,Toronto,0
2020-09-16,Toronto District School Board,Toronto,0
